"B04001_073E","Estimate!!Total!!Subsaharan African",
"B04001_073M","Margin of Error!!Total!!Subsaharan African",
"B04001_074E","Estimate!!Total!!Subsaharan African!!Cape Verdean",
"B04001_074M","Margin of Error!!Total!!Subsaharan African!!Cape Verdean",
"B04001_075E","Estimate!!Total!!Subsaharan African!!Ethiopian",
"B04001_075M","Margin of Error!!Total!!Subsaharan African!!Ethiopian",
"B04001_076E","Estimate!!Total!!Subsaharan African!!Ghanaian",
"B04001_076M","Margin of Error!!Total!!Subsaharan African!!Ghanaian",
"B04001_077E","Estimate!!Total!!Subsaharan African!!Kenyan",
"B04001_077M","Margin of Error!!Total!!Subsaharan African!!Kenyan",
"B04001_078E","Estimate!!Total!!Subsaharan African!!Liberian",
"B04001_078M","Margin of Error!!Total!!Subsaharan African!!Liberian",
"B04001_079E","Estimate!!Total!!Subsaharan African!!Nigerian",
"B04001_079M","Margin of Error!!Total!!Subsaharan African!!Nigerian",
"B04001_080E","Estimate!!Total!!Subsaharan African!!Senegalese",
"B04001_080M","Margin of Error!!Total!!Subsaharan African!!Senegalese",
"B04001_081E","Estimate!!Total!!Subsaharan African!!Sierra Leonean",
"B04001_081M","Margin of Error!!Total!!Subsaharan African!!Sierra Leonean",
"B04001_082E","Estimate!!Total!!Subsaharan African!!Somalian",
"B04001_082M","Margin of Error!!Total!!Subsaharan African!!Somalian",
"B04001_083E","Estimate!!Total!!Subsaharan African!!South African",
"B04001_083M","Margin of Error!!Total!!Subsaharan African!!South African",
"B04001_084E","Estimate!!Total!!Subsaharan African!!Sudanese",
"B04001_084M","Margin of Error!!Total!!Subsaharan African!!Sudanese",
"B04001_085E","Estimate!!Total!!Subsaharan African!!Ugandan",
"B04001_085M","Margin of Error!!Total!!Subsaharan African!!Ugandan",
"B04001_086E","Estimate!!Total!!Subsaharan African!!Zimbabwean",
"B04001_086M","Margin of Error!!Total!!Subsaharan African!!Zimbabwean",
"B04001_087E","Estimate!!Total!!Subsaharan African!!African",
"B04001_087M","Margin of Error!!Total!!Subsaharan African!!African",
"B04001_088E","Estimate!!Total!!Subsaharan African!!Other Subsaharan African",
"B04001_088M","Margin of Error!!Total!!Subsaharan African!!Other Subsaharan African",
"B04001_089E","Estimate!!Total!!Swedish",
"B04001_089M","Margin of Error!!Total!!Swedish",
"B04001_090E","Estimate!!Total!!Swiss",
"B04001_090M","Margin of Error!!Total!!Swiss",
"B04001_091E","Estimate!!Total!!Turkish",
"B04001_091M","Margin of Error!!Total!!Turkish",
"B04001_092E","Estimate!!Total!!Ukrainian",
"B04001_092M","Margin of Error!!Total!!Ukrainian",
"B04001_093E","Estimate!!Total!!Welsh",
"B04001_093M","Margin of Error!!Total!!Welsh",
"B04001_094E","Estimate!!Total!!West Indian (except Hispanic groups)",
"B04001_094M","Margin of Error!!Total!!West Indian (except Hispanic groups)",
"B04001_095E","Estimate!!Total!!West Indian (except Hispanic groups)!!Bahamian",
"B04001_095M","Margin of Error!!Total!!West Indian (except Hispanic groups)!!Bahamian",
"B04001_096E","Estimate!!Total!!West Indian (except Hispanic groups)!!Barbadian",
"B04001_096M","Margin of Error!!Total!!West Indian (except Hispanic groups)!!Barbadian",
"B04001_097E","Estimate!!Total!!West Indian (except Hispanic groups)!!Belizean",
"B04001_097M","Margin of Error!!Total!!West Indian (except Hispanic groups)!!Belizean",
"B04001_098E","Estimate!!Total!!West Indian (except Hispanic groups)!!Bermudan",
"B04001_098M","Margin of Error!!Total!!West Indian (except Hispanic groups)!!Bermudan",
"B04001_099E","Estimate!!Total!!West Indian (except Hispanic groups)!!British West Indian",
"B04001_099M","Margin of Error!!Total!!West Indian (except Hispanic groups)!!British West Indian",
"B04001_100E","Estimate!!Total!!West Indian (except Hispanic groups)!!Dutch West Indian",
"B04001_100M","Margin of Error!!Total!!West Indian (except Hispanic groups)!!Dutch West Indian",
"B04001_101E","Estimate!!Total!!West Indian (except Hispanic groups)!!Haitian",
"B04001_101M","Margin of Error!!Total!!West Indian (except Hispanic groups)!!Haitian",
"B04001_102E","Estimate!!Total!!West Indian (except Hispanic groups)!!Jamaican",
"B04001_102M","Margin of Error!!Total!!West Indian (except Hispanic groups)!!Jamaican",
"B04001_103E","Estimate!!Total!!West Indian (except Hispanic groups)!!Trinidadian and Tobagonian",
"B04001_103M","Margin of Error!!Total!!West Indian (except Hispanic groups)!!Trinidadian and Tobagonian",
"B04001_104E","Estimate!!Total!!West Indian (except Hispanic groups)!!U.S. Virgin Islander",
"B04001_104M","Margin of Error!!Total!!West Indian (except Hispanic groups)!!U.S. Virgin Islander",
"B04001_105E","Estimate!!Total!!West Indian (except Hispanic groups)!!West Indian",
"B04001_105M","Margin of Error!!Total!!West Indian (except Hispanic groups)!!West Indian",
"B04001_106E","Estimate!!Total!!West Indian (except Hispanic groups)!!Other West Indian",
"B04001_106M","Margin of Error!!Total!!West Indian (except Hispanic groups)!!Other West Indian",
"B04001_107E","Estimate!!Total!!Yugoslavian",
"B04001_107M","Margin of Error!!Total!!Yugoslavian",
"B04001_108E","Estimate!!Total!!Other groups",
"B04001_108M","Margin of Error!!Total!!Other groups",
"B04001_109E","Estimate!!Total!!Unclassified or not reported",
"B04001_109M","Margin of Error!!Total!!Unclassified or not reported",
